Season,HomeTeam,HomeTeamPoints,AwayTeam,AwayTeamPoints,total_points,points_per_season,rank
2019/20,Southampton,21.0,Southampton,31.0,52.0,1.368421052631579,11
2019/20,Tottenham,39.0,Tottenham,20.0,59.0,1.5526315789473684,6
2019/20,Watford,24.0,Watford,10.0,34.0,0.8947368421052632,18
2019/20,West Ham,22.0,West Ham,17.0,39.0,1.0263157894736843,16
2019/20,Wolves,31.0,Wolves,28.0,59.0,1.5526315789473684,6
2020/21,Arsenal,28.0,Arsenal,33.0,61.0,1.605263157894737,8
2020/21,Aston Villa,25.0,Aston Villa,30.0,55.0,1.4473684210526316,11
2020/21,Brighton,21.0,Brighton,20.0,41.0,1.0789473684210527,16
2020/21,Burnley,18.0,Burnley,21.0,39.0,1.0263157894736843,17
2020/21,Chelsea,33.0,Chelsea,34.0,67.0,1.763157894736842,4
2020/21,Crystal Palace,23.0,Crystal Palace,21.0,44.0,1.1578947368421053,14
2020/21,Everton,22.0,Everton,37.0,59.0,1.5526315789473684,9
2020/21,Fulham,10.0,Fulham,18.0,28.0,0.7368421052631579,18
2020/21,Leeds,29.0,Leeds,30.0,59.0,1.5526315789473684,9
2020/21,Leicester,28.0,Leicester,38.0,66.0,1.736842105263158,5
2020/21,Liverpool,33.0,Liverpool,36.0,69.0,1.8157894736842106,3
2020/21,Man City,41.0,Man City,45.0,86.0,2.263157894736842,1
2020/21,Man United,31.0,Man United,43.0,74.0,1.9473684210526316,2
2020/21,Newcastle,23.0,Newcastle,22.0,45.0,1.1842105263157894,12
2020/21,Sheffield United,16.0,Sheffield United,7.0,23.0,0.6052631578947368,20
2020/21,Southampton,27.0,Southampton,16.0,43.0,1.131578947368421,15
2020/21,Tottenham,33.0,Tottenham,29.0,62.0,1.631578947368421,7
2020/21,West Brom,15.0,West Brom,11.0,26.0,0.6842105263157895,19
2020/21,West Ham,34.0,West Ham,31.0,65.0,1.7105263157894737,6
2020/21,Wolves,25.0,Wolves,20.0,45.0,1.1842105263157894,12
2021/22,Arsenal,41.0,Arsenal,28.0,69.0,1.8157894736842106,5
2021/22,Aston Villa,23.0,Aston Villa,22.0,45.0,1.1842105263157894,14
2021/22,Brentford,24.0,Brentford,22.0,46.0,1.2105263157894737,13
2021/22,Brighton,22.0,Brighton,29.0,51.0,1.3421052631578947,9
2021/22,Burnley,21.0,Burnley,14.0,35.0,0.9210526315789473,18
2021/22,Chelsea,34.0,Chelsea,40.0,74.0,1.9473684210526316,3
2021/22,Crystal Palace,29.0,Crystal Palace,19.0,48.0,1.263157894736842,12
2021/22,Everton,29.0,Everton,10.0,39.0,1.0263157894736843,16
2021/22,Leeds,18.0,Leeds,20.0,38.0,1.0,17
2021/22,Leicester,34.0,Leicester,18.0,52.0,1.368421052631579,8
2021/22,Liverpool,49.0,Liverpool,43.0,92.0,2.4210526315789473,2
2021/22,Man City,47.0,Man City,46.0,93.0,2.4473684210526314,1
2021/22,Man United,35.0,Man United,23.0,58.0,1.5263157894736843,6
2021/22,Newcastle,30.0,Newcastle,19.0,49.0,1.2894736842105263,11
2021/22,Norwich,12.0,Norwich,10.0,22.0,0.5789473684210527,20
2021/22,Southampton,25.0,Southampton,15.0,40.0,1.0526315789473684,15
2021/22,Tottenham,40.0,Tottenham,31.0,71.0,1.868421052631579,4
2021/22,Watford,8.0,Watford,15.0,23.0,0.6052631578947368,19
2021/22,West Ham,32.0,West Ham,24.0,56.0,1.4736842105263157,7
2021/22,Wolves,24.0,Wolves,27.0,51.0,1.3421052631578947,9
2022/23,Arsenal,45.0,Arsenal,39.0,84.0,2.210526315789474,2
2022/23,Aston Villa,38.0,Aston Villa,23.0,61.0,1.605263157894737,7
2022/23,Bournemouth,22.0,Bournemouth,17.0,39.0,1.0263157894736843,15
2022/23,Brentford,37.0,Brentford,22.0,59.0,1.5526315789473684,9
2022/23,Brighton,34.0,Brighton,28.0,62.0,1.631578947368421,6
2022/23,Chelsea,25.0,Chelsea,19.0,44.0,1.1578947368421053,12
2022/23,Crystal Palace,28.0,Crystal Palace,17.0,45.0,1.1842105263157894,11
2022/23,Everton,21.0,Everton,15.0,36.0,0.9473684210526315,17
2022/23,Fulham,29.0,Fulham,23.0,52.0,1.368421052631579,10
2022/23,Leeds,22.0,Leeds,9.0,31.0,0.8157894736842105,19
2022/23,Leicester,19.0,Leicester,15.0,34.0,0.8947368421052632,18
2022/23,Liverpool,44.0,Liverpool,23.0,67.0,1.763157894736842,5
