Season,HomeTeam,HomeTeamPoints,AwayTeam,AwayTeamPoints,total_points,points_per_season,rank
2010/11,Everton,34.0,Everton,20.0,54.0,1.4210526315789473,7
2010/11,Fulham,31.0,Fulham,18.0,49.0,1.2894736842105263,8
2010/11,Liverpool,40.0,Liverpool,18.0,58.0,1.5263157894736843,6
2010/11,Man City,43.0,Man City,28.0,71.0,1.868421052631579,2
2010/11,Man United,55.0,Man United,25.0,80.0,2.1052631578947367,1
2010/11,Newcastle,26.0,Newcastle,20.0,46.0,1.2105263157894737,12
2010/11,Stoke,34.0,Stoke,12.0,46.0,1.2105263157894737,12
2010/11,Sunderland,26.0,Sunderland,21.0,47.0,1.236842105263158,10
2010/11,Tottenham,36.0,Tottenham,26.0,62.0,1.631578947368421,5
2010/11,West Brom,30.0,West Brom,17.0,47.0,1.236842105263158,10
2010/11,West Ham,20.0,West Ham,13.0,33.0,0.868421052631579,20
2010/11,Wigan,23.0,Wigan,19.0,42.0,1.105263157894737,16
2010/11,Wolves,28.0,Wolves,12.0,40.0,1.0526315789473684,17
2011/12,Arsenal,40.0,Arsenal,30.0,70.0,1.8421052631578947,3
2011/12,Aston Villa,19.0,Aston Villa,19.0,38.0,1.0,16
2011/12,Blackburn,19.0,Blackburn,12.0,31.0,0.8157894736842105,19
2011/12,Bolton,16.0,Bolton,20.0,36.0,0.9473684210526315,18
2011/12,Chelsea,39.0,Chelsea,25.0,64.0,1.6842105263157894,6
2011/12,Everton,33.0,Everton,23.0,56.0,1.4736842105263157,7
2011/12,Fulham,35.0,Fulham,17.0,52.0,1.368421052631579,8
2011/12,Liverpool,27.0,Liverpool,25.0,52.0,1.368421052631579,8
2011/12,Man City,55.0,Man City,34.0,89.0,2.3421052631578947,1
